id,title,type,release_year,age_certification,runtime,genres,production_countries,imdb_score,imdb_votes
tm77588,Casablanca,MOVIE,1943,PG,102,"['drama', 'romance', 'war']",['US'],8.5,577842
tm155702,The Wizard of Oz,MOVIE,1939,G,102,"['fantasy', 'family']",['US'],8.1,406105
tm83648,Citizen Kane,MOVIE,1941,PG,119,['drama'],['US'],8.3,446627
tm3175,Meet Me in St. Louis,MOVIE,1945,,113,"['drama', 'family', 'romance', 'music', 'comedy']",['US'],7.5,25589
ts225761,Tom and Jerry,SHOW,1940,,8,"['animation', 'comedy', 'family', 'action']",['US'],7.7,859
tm156463,Gone with the Wind,MOVIE,1940,G,238,"['drama', 'romance', 'war', 'history']",['US'],8.2,319463
tm82363,The Big Sleep,MOVIE,1946,,114,"['crime', 'thriller']",['US'],7.9,87289
tm106979,The Thin Man,MOVIE,1934,,93,"['comedy', 'crime', 'romance']",['US'],7.9,30898
tm14790,Mildred Pierce,MOVIE,1945,,111,"['drama', 'romance', 'crime']",['US'],7.9,26770
tm47834,M,MOVIE,1931,PG-13,109,"['thriller', 'crime', 'drama', 'action', 'european']",['DE'],8.3,160170
tm5094,The Treasure of the Sierra Madre,MOVIE,1948,,126,"['western', 'drama']",['US'],8.2,126516
tm5608,Bicycle Thieves,MOVIE,1948,,93,"['drama', 'european']",['IT'],8.3,165791
tm87737,Häxan,MOVIE,1922,,104,"['horror', 'european', 'history', 'documentation', 'fantasy']",['SE'],7.6,15214
tm88256,Black Narcissus,MOVIE,1947,,100,['drama'],['GB'],7.7,25765
tm160494,Stagecoach,MOVIE,1939,,96,"['western', 'drama']",['US'],7.8,50624
tm7492,Bringing Up Baby,MOVIE,1938,,102,"['romance', 'comedy', 'family']",['US'],7.8,63042
tm58806,Rashomon,MOVIE,1950,,88,"['drama', 'crime']",['JP'],8.2,170971
tm81960,The Philadelphia Story,MOVIE,1940,,112,"['comedy', 'romance']",['US'],7.9,70778
tm146745,The Gold Rush,MOVIE,1925,,81,"['drama', 'comedy', 'romance', 'western', 'family']",['US'],8.1,112841
tm2346,The 39 Steps,MOVIE,1935,,86,"['thriller', 'crime']",['GB'],7.6,58562
tm117703,The Life and Death of Colonel Blimp,MOVIE,1944,,163,"['drama', 'romance', 'war']",['GB'],8,15375
tm4707,The Red Shoes,MOVIE,1948,,133,"['romance', 'drama', 'music']",['GB'],8.1,36324
tm127045,A Trip to the Moon,MOVIE,1902,,15,"['scifi', 'action', 'european']",['FR'],,
tm19202,The Kid Brother,MOVIE,1927,,83,"['western', 'comedy', 'drama', 'family', 'romance']",['US'],7.6,4549
tm72527,The Great Dictator,MOVIE,1940,,125,"['comedy', 'drama', 'war']",['US'],8.4,226643
tm88077,Great Expectations,MOVIE,1947,,118,"['drama', 'romance']",['GB'],7.8,25130
tm122846,The Kid,MOVIE,1921,,68,"['comedy', 'drama', 'family']",['US'],8.3,128096
tm8232,The Lady Vanishes,MOVIE,1938,,97,['thriller'],['GB'],7.8,54135
tm145237,Battleship Potemkin,MOVIE,1925,,70,"['drama', 'thriller', 'war', 'history']",['SU'],7.9,58986
tm4529,To Have and Have Not,MOVIE,1945,,100,"['romance', 'thriller', 'war', 'comedy']",['US'],7.8,35886
tm52402,City Lights,MOVIE,1931,G,87,"['comedy', 'drama', 'romance']",['US'],8.5,186891
tm166715,Top Hat,MOVIE,1935,,101,"['comedy', 'romance']",['US'],7.7,19726
ts80171,Looney Tunes,SHOW,1929,,7,"['comedy', 'family', 'thriller', 'animation']",[],8.8,314
tm7281,Safety Last!,MOVIE,1923,,70,"['action', 'comedy', 'romance', 'thriller']",['US'],8.1,21317
tm2838,The Most Dangerous Game,MOVIE,1932,PG-13,63,"['action', 'thriller', 'horror']",['US'],7.1,12996
tm146874,The Freshman,MOVIE,1925,,76,"['comedy', 'music', 'romance', 'sport', 'family']",['US'],7.5,5741
tm75346,To Be or Not to Be,MOVIE,1942,G,99,"['comedy', 'european', 'romance', 'war']",['US'],8.2,38899
tm104511,Two Monks,MOVIE,1935,,85,"['drama', 'horror', 'romance']",['MX'],7,593
tm80361,The Thief of Bagdad,MOVIE,1940,,106,"['action', 'fantasy', 'romance', 'family']",['GB'],7.4,13695
tm62467,Sabotage,MOVIE,1937,,77,"['drama', 'thriller', 'crime']",['GB'],7,17584
tm79235,That Hamilton Woman,MOVIE,1941,,125,"['drama', 'romance', 'war', 'history']",['US'],7.2,4754
tm18358,The Seventh Veil,MOVIE,1945,,94,"['drama', 'music']",['GB'],6.7,2151
tm117059,A Day in the Country,MOVIE,1946,,41,"['drama', 'romance', 'comedy']",['FR'],,
tm118404,Modern Times,MOVIE,1936,G,87,"['drama', 'comedy', 'romance', 'family']",['US'],8.5,245699
tm13007,Whimsical Illusions,MOVIE,1909,,5,"['fantasy', 'comedy']",['FR'],,
tm106357,Sunnyside,MOVIE,1919,,33,['comedy'],['US'],,
tm20341,"Rome, Open City",MOVIE,1945,,100,"['drama', 'european', 'thriller', 'war']",['IT'],8,27328
